individu_id,date,activite,duree,unite,poids_kg,calories
1001,2025-01-01,velo,15.73,min,74.7,134.3
1001,2025-01-02,course,56.67,min,74.7,731.2
1001,2025-01-03,course,1.26,h,74.7,966.9
1001,2025-01-04,natation,39.72,min,74.7,437.7
1001,2025-01-05,velo,37.32,min,74.7,336.3
1001,2025-01-06,course,1.2,h,74.7,987.5
1001,2025-01-07,course,46.75,min,74.7,612.4
1001,2025-01-08,run,23.14,min,74.7,287.2
1001,2025-01-09,course,59.52,min,74.7,634.6
1001,2025-01-10,velo,39.77,min,74.7,372.1
1001,2025-01-11,natation,1.15,h,74.7,731.8
1001,2025-01-12,velo,51.85,min,74.7,475.0
1001,2025-01-13,velo,1.0,h,74.7,619.2
1001,2025-01-14,course,19.69,min,74.7,215.9
1001,2025-01-15,natation,64.49,min,74.7,650.8
1001,2025-01-16,run,57.6,min,74.7,610.9
1001,2025-01-17,course,37.06,min,74.7,486.1
1001,2025-01-18,run,1.41,h,74.7,1173.1
1001,2025-01-19,velo,39.15,min,74.7,331.2
1001,2025-01-20,natation,57.57,min,74.7,722.7
1001,2025-01-21,velo,32.81,min,74.7,308.5
1001,2025-01-22,natation,0.69,h,74.7,360.3
1001,2025-01-23,velo,59.74,min,74.7,556.8
1001,2025-01-24,velo,57.58,min,74.7,513.8
1001,2025-01-25,velo,51.69,min,74.7,484.0
1001,2025-01-26,natation,43.22,min,74.7,465.2
1001,2025-01-27,velo,1.46,h,74.7,875.5
1001,2025-01-28,course,0.89,h,74.7,780.2
1001,2025-01-29,course,44.92,min,74.7,566.4
1001,2025-01-30,course,0.99,h,74.7,694.0
1001,2025-01-31,natation,45.46,min,74.7,452.7
1001,2025-02-01,velo,34.56,min,74.7,331.5
1001,2025-02-02,course,82.76,min,74.7,1260.0
1001,2025-02-03,velo,1.36,h,74.7,743.1
1001,2025-02-04,velo,78.17,min,74.7,726.2
1001,2025-02-05,velo,76.94,min,74.7,657.6
1001,2025-02-06,cours,50.12,min,74.7,753.6
1001,2025-02-07,natation,42.99,min,74.7,388.0
1001,2025-02-08,cours,47.33,min,74.7,628.1
1001,2025-02-09,velò,1.84,h,74.7,1312.7
1001,2025-02-10,course,28.31,min,74.7,406.2
1001,2025-02-11,course,28.34,min,74.7,346.2
1001,2025-02-12,velo,47.29,min,74.7,532.2
1001,2025-02-13,velo,0.47,h,74.7,287.5
1001,2025-02-14,course,29.21,min,74.7,361.9
1001,2025-02-15,velo,71.16,min,74.7,728.7
1001,2025-02-16,velo,27.33,min,74.7,289.0
1001,2025-02-17,velò,0.53,h,74.7,308.9
1001,2025-02-18,velo,29.79,min,74.7,293.2
1001,2025-02-19,velo,54.13,min,74.7,409.4
1001,2025-02-20,velo,36.13,min,74.7,375.4
1001,2025-02-21,velo,57.21,min,74.7,621.2
1001,2025-02-22,course,42.71,min,74.7,568.5
1001,2025-02-23,course,32.67,min,74.7,427.2
1001,2025-02-24,natation,53.31,min,74.7,687.7
1001,2025-02-25,velo,1.39,h,74.7,688.5
1001,2025-02-26,velo,49.14,min,74.7,414.0
1001,2025-02-27,course,1.04,h,74.7,861.9
1001,2025-02-28,course,57.31,min,74.7,705.7
1001,2025-03-01,velò,25.55,min,74.7,213.5
1002,2025-01-01,natation,64.92,min,78.7,710.7
1002,2025-01-02,velo,36.08,min,78.7,317.7
1002,2025-01-03,velo,50.89,min,78.7,471.3
1002,2025-01-04,velo,0.84,h,78.7,465.1
1002,2025-01-05,velo,1.4,h,78.7,836.1
1002,2025-01-06,velo,0.96,h,78.7,616.5
1002,2025-01-07,course,32.32,min,78.7,450.9
1002,2025-01-08,velo,28.24,min,78.7,278.5
1002,2025-01-09,course,38.89,min,78.7,510.3
1002,2025-01-10,velo,45.1,min,78.7,587.1
1002,2025-01-11,natation,42.44,min,78.7,431.4
1002,2025-01-12,velo,1.33,h,78.7,852.1
1002,2025-01-13,course,39.97,min,78.7,432.3
1002,2025-01-14,course,0.3,h,78.7,229.9
1002,2025-01-15,course,40.54,min,78.7,552.9
1002,2025-01-16,velo,1.27,h,78.7,915.4
1002,2025-01-17,natation,38.36,min,78.7,484.4
1002,2025-01-18,velo,0.87,h,78.7,560.9
1002,2025-01-19,velo,33.2,min,78.7,285.3
1002,2025-01-20,velo,48.05,min,78.7,446.5
1002,2025-01-21,natation,75.53,min,78.7,825.4
1002,2025-01-22,natation,37.29,min,78.7,374.6
1002,2025-01-23,velo,56.09,min,78.7,570.5
1002,2025-01-24,course,1.08,h,78.7,795.4
1002,2025-01-25,velo,50.45,min,78.7,395.8
1002,2025-01-26,natation,27.35,min,78.7,276.3
1002,2025-01-27,natation,20.22,min,78.7,194.4
1002,2025-01-28,natation,52.73,min,78.7,547.7
1002,2025-01-29,natation,51.72,min,78.7,474.1
1002,2025-01-30,velo,32.9,min,78.7,296.4
1002,2025-01-31,course,45.48,min,78.7,630.7
1002,2025-02-01,velo,29.39,min,78.7,230.5
1002,2025-02-02,course,40.71,min,78.7,539.3
1002,2025-02-03,course,75.79,min,78.7,1041.1
1002,2025-02-04,velo,19.04,min,78.7,200.0
1002,2025-02-05,course,1.18,h,78.7,983.5
1002,2025-02-06,course,44.74,min,78.7,549.6
1002,2025-02-07,course,37.16,min,78.7,373.1
1002,2025-02-08,course,50.24,min,78.7,840.1
1002,2025-02-09,velo,63.78,min,78.7,624.8
1002,2025-02-10,velo,67.48,min,78.7,665.4
1002,2025-02-11,run,0.77,h,78.7,476.2
1002,2025-02-12,velo,0.69,h,78.7,425.9
1002,2025-02-13,course,54.71,min,78.7,737.9
1002,2025-02-14,course,21.55,min,78.7,311.0
1002,2025-02-15,course,0.55,h,78.7,405.3
1002,2025-02-16,run,51.72,min,78.7,702.5
1002,2025-02-17,run,0.51,h,78.7,322.9
1002,2025-02-18,velo,1.28,h,78.7,935.9
1002,2025-02-19,natation,29.77,min,78.7,395.5
1002,2025-02-20,natation,51.64,min,78.7,640.4
1002,2025-02-21,course,46.25,min,78.7,589.9
1002,2025-02-22,velo,65.26,min,78.7,675.3
1002,2025-02-23,course,44.23,min,78.7,592.6
1002,2025-02-24,course,41.96,min,78.7,505.3
